societe,secteur,secteur_normalise,type_comptes_resolu,statut_perimetre_is,qualite_perimetre,annee_information,is_2025_mad,resultat_avant_impot,resultat_net,chiffre_affaires,total_actif,capitaux_propres,est_banque,version_source,annee_prevue,prediction_naive_2026_mad,variation_is_predite_mad,prediction_modele_2026_mad,groupe_intervalle,marge_empirique_90_mad,borne_basse_90_mad,borne_haute_90_mad,statut_prevision
Maghrebail,Sociétés de financement,societes de financement,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,113642000.0,,202000000.0,,,1228220000.0,False,V16,2026,113642000.0,2993621.235256875,116635621.23525688,Non-banques,52126746.45929065,64508874.77596623,168762367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Sofac-Crédit,Sociétés de financement,societes de financement,sociaux,vérifié_par_impôt_du_pdf,haute,2025,102968000.0,,160350000.0,,,,False,V16,2026,102968000.0,2993621.235256875,105961621.23525688,Non-banques,52126746.45929065,53834874.77596623,158088367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Risma,Divers,divers,sociaux,vérifié_par_impôt_du_pdf,haute,2025,5921669.26,,16.29,,3553360000000.0,2181916204.92,False,V16,2026,5921669.26,99389781.84551878,105311451.10551879,Non-banques,52126746.45929065,53184704.646228135,157438197.56480944,Prévision exploratoire; à actualiser avec les comptes 2026
Oulmès,Agroalimentaire,agroalimentaire,sociaux,vérifié_par_impôt_du_pdf,haute,2025,72913473.0,214040905.0,-2.0,3195794324.0,3919500000.0,18179512.0,False,V16,2026,72913473.0,31861701.313731324,104775174.31373133,Non-banques,52126746.45929065,52648427.854440674,156901920.773022,Prévision exploratoire; à actualiser avec les comptes 2026
JALU (JET CONTRACTORS),Bâtiment et matériaux de construction,batiment et materiaux de construction,sociaux,vérifié_par_impôt_du_pdf,haute,2025,98994137.95,238956471.42,139962333.47,,5646901866.67,,False,V16,2026,98994137.95,2993621.235256875,101987759.18525688,Non-banques,52126746.45929065,49861012.72596623,154114505.64454752,Prévision exploratoire; à actualiser avec les comptes 2026
SALAFIN,Sociétés de financement,societes de financement,sociaux,vérifié_par_impôt_du_pdf,haute,2025,95326000.0,,93147000.0,,,,False,V16,2026,95326000.0,2993621.235256875,98319621.23525688,Non-banques,52126746.45929065,46192874.77596623,150446367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Maroc Leasing,Sociétés de financement,societes de financement,sociaux,vérifié_par_impôt_du_pdf,haute,2025,84986000.0,192281000.0,107295000.0,,,,False,V16,2026,84986000.0,2993621.235256875,87979621.23525688,Non-banques,52126746.45929065,35852874.77596623,140106367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
ENNAKL,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,77889700.83150001,239316963.2721,161427262.4406,1924648186.2039,1377653623.0221,698803046.3548,False,V16,2026,77889700.83150001,2993621.235256875,80883322.06675689,Non-banques,52126746.45929065,28756575.607466236,133010068.52604754,Prévision exploratoire; à actualiser avec les comptes 2026
Lesieur cristal,Agroalimentaire,agroalimentaire,consolides,provisoire_un_seul_type_disponible,provisoire,2025,74601350.0,,-50000000.0,4740000000.0,5302000000.0,1538000000.0,False,V16,2026,74601350.0,2993621.235256875,77594971.23525688,Non-banques,52126746.45929065,25468224.775966227,129721717.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
ALLIANCES,Immobilier,immobilier,consolides,vérifié_par_impôt_du_pdf,haute,2025,69486000.0,,,1604000.0,,3746000.0,False,V16,2026,69486000.0,2993621.235256875,72479621.23525688,Non-banques,52126746.45929065,20352874.775966227,124606367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Auto hall,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,64635088.0,1659905010.86,,,,502945280.0,False,V16,2026,64635088.0,2993621.235256875,67628709.23525688,Non-banques,52126746.45929065,15501962.775966227,119755455.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
CFG,Banques,banques,sociaux,vérifié_par_impôt_du_pdf,haute,2025,55522000.0,,35000000.0,,,,True,V16,2026,55522000.0,2993621.235256875,58515621.23525687,Banques,666815632.3737519,0.0,725331253.6090088,Prévision exploratoire; à actualiser avec les comptes 2026
Eqdom,Sociétés de financement,societes de financement,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,55641000.0,151000000.0,,,,,False,V16,2026,55641000.0,1292668.2170100107,56933668.217010014,Non-banques,52126746.45929065,4806921.75771936,109060414.67630067,Prévision exploratoire; à actualiser avec les comptes 2026
MUTANDIS SCA,Agroalimentaire,agroalimentaire,consolides,vérifié_par_impôt_du_pdf,haute,2025,53249000.0,22666000.0,,2116550000.0,3702790000.0,1343000000.0,False,V16,2026,53249000.0,2993621.235256875,56242621.23525687,Non-banques,52126746.45929065,4115874.7759662196,108369367.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Atlanta,Sociétés d'assurances,societes d assurances,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,40561252.0,,,24100000.0,,,False,V16,2026,40561252.0,2993621.235256875,43554873.23525687,Non-banques,52126746.45929065,0.0,95681619.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
PROMOPHARM,Divers,divers,sociaux,vérifié_par_impôt_du_pdf,haute,2025,38461011.0,98375645.13,59914634.13,979733874.82,1219927998.22,590840385.99,False,V16,2026,38461011.0,2993621.235256875,41454632.23525687,Non-banques,52126746.45929065,0.0,93581378.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
STROC INDUSTRIE,Ingénieries et biens d'équipement industriels,ingenieries et biens d equipement industriels,sociaux,vérifié_par_impôt_du_pdf,haute,2025,893044.0,1369063.82,476019.82,173880539.7,387072949.74,-340892435.83,False,V16,2026,893044.0,31861701.313731324,32754745.313731324,Non-banques,52126746.45929065,0.0,84881491.77302198,Prévision exploratoire; à actualiser avec les comptes 2026
Rebab Company,Mines,mines,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,3000.0,1031000.0,-2600000.0,,40330000000.0,25864154.36,False,V16,2026,3000.0,31861701.313731324,31864701.313731324,Non-banques,52126746.45929065,0.0,83991447.77302198,Prévision exploratoire; à actualiser avec les comptes 2026
Aluminium du Maroc,Bâtiment et matériaux de construction,batiment et materiaux de construction,consolides,provisoire_un_seul_type_disponible,provisoire,2025,25251911.0,,71539.0,,,46595400.0,False,V16,2026,25251911.0,2993621.235256875,28245532.235256873,Non-banques,52126746.45929065,0.0,80372278.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
HPS,"Matériels, logiciels et services informatiques",materiels logiciels et services informatiques,consolides,vérifié_par_impôt_du_pdf,haute,2025,24802036.0,,31754680.0,5483000.0,,,False,V16,2026,24802036.0,1363692.6740938814,26165728.67409388,Non-banques,52126746.45929065,0.0,78292475.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
