societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad
Oulmès,Agroalimentaire,2024,sociaux,20912614.0,,1292558324.0,,,503586940.1,,,-79873638.0,-2.0,,,,5,OULMES,1.0,nom normalisé,84226671.0,vérifié_par_impôt_du_pdf,,
Oulmès,Agroalimentaire,2025,sociaux,18179512.0,3195794324.0,1241194196.0,292030771.0,,711442081.1,,214040905.0,-81098800.0,-2.0,3919500000.0,,,8,OULMES,1.0,nom normalisé,72913473.0,vérifié_par_impôt_du_pdf,,
PROMOPHARM,Divers,2007,sociaux,337820687.1,334204076.48,0.0,72355458.84,93326436.6,125610940.72,,77977207.25,1518350.6,52735407.25,422517734.92,84697047.82,117183060.19,12,PROMOPHARM,1.0,RFA officiel/comparatif,25241800.0,vérifié_par_impôt_du_pdf,0.0,25241800.0
PROMOPHARM,Divers,2008,sociaux,370300820.37,352876915.31,0.0,83571131.24,105580972.37,127540946.93,,89462733.27,1551284.5,67480133.27,440683538.25,70382717.88,109550765.85,12,PROMOPHARM,1.0,RFA officiel/comparatif,21982600.0,vérifié_par_impôt_du_pdf,0.0,21982600.0
PROMOPHARM,Divers,2009,sociaux,391008944.96,357017375.02,0.0,83091038.58,104703667.31,131385041.27,,88216124.59,1804541.92,65708124.59,463812144.16,72803199.20000005,48847660.92,12,PROMOPHARM,1.0,RFA officiel/comparatif,22508000.0,vérifié_par_impôt_du_pdf,0.0,22508000.0
PROMOPHARM,Divers,2010,sociaux,411361688.39,375967174.6,0.0,88355658.81,111811500.94,127217595.45,,88929951.43,767240.31,65352743.43,495118334.03,83756645.63999999,47464999.8,12,PROMOPHARM,1.0,RFA officiel/comparatif,23577208.0,vérifié_par_impôt_du_pdf,-7.450580596923828e-09,23577208.00000001
PROMOPHARM,Divers,2011,sociaux,435195294.76,414644365.15,0.0,95710447.93,118779531.23,129915906.28,,98895961.37,3266460.79,68833606.37,518211225.45,83015930.69,67069979.68,12,PROMOPHARM,1.0,RFA officiel/comparatif,30062355.0,vérifié_par_impôt_du_pdf,0.0,30062355.0
PROMOPHARM,Divers,2012,sociaux,456151439.79,449584011.4,0.0,93089274.55,117342041.02,124993366.68,,95006243.03,3101792.21,65956145.03,545687447.32,89536007.53000003,71460331.64,12,PROMOPHARM,1.0,RFA officiel/comparatif,29050098.0,vérifié_par_impôt_du_pdf,0.0,29050098.0
PROMOPHARM,Divers,2013,sociaux,377153698.91,449183045.58,0.0,77527427.09,106039410.54,117537917.41,,75857903.12,2264272.33,51002259.12,467588402.74,90434703.82999998,106276798.61,12,PROMOPHARM,1.0,RFA officiel/comparatif,24855644.0,vérifié_par_impôt_du_pdf,-7.450580596923828e-09,24855644.00000001
PROMOPHARM,Divers,2014,sociaux,380373525.27,474836506.93,0.0,110183843.64,141103331.53,118837378.29,,113909753.36,3948725.31,78219826.36,540857056.83,160483531.5600001,38592631.29,12,PROMOPHARM,1.0,RFA officiel/comparatif,35689927.0,vérifié_par_impôt_du_pdf,0.0,35689927.0
PROMOPHARM,Divers,2015,sociaux,397480337.51,532838890.03,0.0,136241808.5,163505810.29,111343349.96,,140760600.24,6258622.59,97106812.24,527685781.73,130205444.22,124528533.97,12,PROMOPHARM,1.0,RFA officiel/comparatif,43653788.0,vérifié_par_impôt_du_pdf,-1.490116119384766e-08,43653788.00000001
PROMOPHARM,Divers,2016,sociaux,315697985.57,529788922.38,0.0,129734250.88,158116105.12,98262628.59,,129164707.5,810271.95,87217648.06,491618828.68,175920843.11,45187361.03,12,PROMOPHARM,1.0,RFA officiel/comparatif,41947059.44,vérifié_par_impôt_du_pdf,0.0,41947059.44
PROMOPHARM,Divers,2017,sociaux,233498730.53,511203838.56,0.0,102035277.87,126958329.53,88040580.37,,97185218.96,-2950424.13,65800744.96,447356124.44,213857393.91,26507217.76,12,PROMOPHARM,1.0,RFA officiel/comparatif,31384474.0,vérifié_par_impôt_du_pdf,7.450580596923828e-09,31384473.99999999
PROMOPHARM,Divers,2018,sociaux,272244361.07,444532858.69,0.0,54724313.09,83681695.5,83306922.89,,55037400.54,-3203663.74,38745630.54,481714609.49,209470248.42,26636907.67,12,PROMOPHARM,1.0,RFA officiel/comparatif,16291770.0,vérifié_par_impôt_du_pdf,0.0,16291770.0
PROMOPHARM,Divers,2019,sociaux,324358564.9,522450180.24,0.0,91239923.93,102097738.68,79544054.17,,81584456.41,-1619645.55,52114203.41,490247686.82,165889121.92,119302279.65,12,PROMOPHARM,1.0,RFA officiel/comparatif,29470253.0,vérifié_par_impôt_du_pdf,0.0,29470253.0
PROMOPHARM,Divers,2020,sociaux,384619455.28,573195995.7,0.0,101480571.14,128882808.74,85276133.62,,90451697.38,-907914.76,60260890.38,545090096.48,160470641.2,104109342.95,12,PROMOPHARM,1.0,RFA officiel/comparatif,30190807.0,vérifié_par_impôt_du_pdf,7.450580596923828e-09,30190806.99999999
PROMOPHARM,Divers,2021,sociaux,423589590.55,630491043.46,30000000.0,104922804.49,133801271.28,100696426.75,,102694955.27,1709718.59,68970135.27,616198845.69,192609255.14,160117365.12,12,PROMOPHARM,1.0,RFA officiel/comparatif,33724820.0,vérifié_par_impôt_du_pdf,0.0,33724820.0
PROMOPHARM,Divers,2022,sociaux,458867835.35,746771033.32,67533495.69,134115436.66,160694419.51,212683177.88,,114250564.8,-11976222.87,75278244.8,762866240.51,303998405.16,106300304.87,12,PROMOPHARM,1.0,RFA officiel,38972320.0,vérifié_par_impôt_du_pdf,0.0,38972320.0
PROMOPHARM,Divers,2023,sociaux,475765782.17,805516174.89,104372103.39,100662043.33,121188258.68,310727981.02,,87794040.82,-1456971.67,56897946.82,984531667.59,508765885.42,62741537.2,12,PROMOPHARM,1.0,RFA officiel,30896094.0,vérifié_par_impôt_du_pdf,7.450580596923828e-09,30896093.99999999
PROMOPHARM,Divers,2024,sociaux,530925751.86,898713862.91,227569236.68,106205594.23,131328556.55,378002235.79,,89043610.69,-2546396.48,55159969.69,1157262504.47,626336752.61,100040599.8,12,PROMOPHARM,1.0,RFA officiel,33883641.0,vérifié_par_impôt_du_pdf,0.0,33883641.0
PROMOPHARM,Divers,2025,sociaux,590840385.99,979733874.82,189965477.88,90790739.19,120423768.68,395255069.71,,98375645.13,13020215.01,59914634.13,1219927998.22,629087612.23,138187221.29,12,PROMOPHARM ,1.0,contrôle rapport annuel 2025,38461011.0,vérifié_par_impôt_du_pdf,7.450580596923828e-09,38461010.99999999
Papelera de Tetuan,Divers,2019,sociaux,,100000000.0,,,,,,,5097000.0,5857000.0,,,,3,Papelera de Tetuan (MED paper),1.0,alias vérifié,498768.0,provisoire_un_seul_type_disponible,,
Papelera de Tetuan,Divers,2020,sociaux,,83817000.0,,4077000.0,603000.0,,,,3537000.0,8562000.0,,,,5,Papelera de Tetuan (MED paper),1.0,alias vérifié,484580.63,provisoire_un_seul_type_disponible,,
Papelera de Tetuan,Divers,2021,sociaux,,,,2536000.0,,,,,1439000.0,9484000.0,,,,3,Papelera de Tetuan (MED paper),1.0,alias vérifié,464706.0,provisoire_un_seul_type_disponible,,
Papelera de Tetuan,Divers,2022,sociaux,,,,13785000.0,19172000.0,,,325000.0,5256000.0,,,,,4,Papelera de Tetuan (MED paper),1.0,alias vérifié,539045.0,provisoire_un_seul_type_disponible,,
Papelera de Tetuan,Divers,2023,sociaux,,130000000.0,,10873000.0,16705000.0,,,,4631000.0,5751000.0,,,,5,Papelera de Tetuan (MED paper),1.0,alias vérifié,271478.0,provisoire_un_seul_type_disponible,,
Papelera de Tetuan,Divers,2024,sociaux,,113000000.0,,9670000.0,,,,6670000.0,3000000.0,6345000.0,,,,5,Papelera de Tetuan (MED paper),1.0,alias vérifié,277495.0,provisoire_un_seul_type_disponible,,
Papelera de Tetuan,Divers,2025,sociaux,,110000000.0,,11520000.0,,,,6920000.0,4600000.0,,,,,4,Papelera de Tetuan (MED paper),1.0,alias vérifié,276584.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2013,consolides,,,,,,5698780.0,,,,,,,,1,RES DAR SAADA,1.0,nom normalisé,49700000.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2014,consolides,,,,,,22362519.0,,,,,,,,1,RES DAR SAADA,1.0,nom normalisé,59583270.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2016,consolides,,,,466291667.5,112.03,,,,1940986.7,148.61,,,,4,RES DAR SAADA,1.0,nom normalisé,32024550.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2017,sociaux,1310442500.0,,1963079251.68,201198236.81,6524112.03,21817803.96,,193653725.61,907688.15,189838148.61,,,,8,RES DAR SAADA,1.0,nom normalisé,3815577.0,vérifié_par_rcai_moins_resultat_net,0.0,3815577.0
RES DAR SAADA,Immobilier,2018,sociaux,1310442500.0,,1978768853.6,304204881.19,,33587572.69,,318617077.76,,266856728.76,,,,6,RES DAR SAADA,1.0,nom normalisé,51760349.0,vérifié_par_rcai_moins_resultat_net,0.0,51760349.0
RES DAR SAADA,Immobilier,2019,consolides,,,201000.0,-416000.0,,95586000.0,-930000.0,,-48230000.0,,8939229000.0,,,6,RES DAR SAADA,1.0,nom normalisé,40416844.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2020,sociaux,,186346486502.0,,,,,,65362453.22,,,,,,2,RES DAR SAADA,1.0,nom normalisé,3758735.0,vérifié_par_impôt_du_pdf,,
RES DAR SAADA,Immobilier,2021,consolides,4236938000.0,,202000.0,,,79680000.0,,,,,8069747000.0,1341878000.0,,5,RES DAR SAADA,1.0,nom normalisé,1788436.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2022,consolides,,,202000.0,-26141.0,,73056000.0,,,-32532.0,,,,,4,RES DAR SAADA,1.0,nom normalisé,1392018.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2023,consolides,4109461000.0,,,-29125000.0,,66195000.0,,-59696000.0,-31887000.0,-67135000.0,7321810000.0,1021876000.0,,7,RES DAR SAADA,1.0,nom normalisé,4175000.0,provisoire_un_seul_type_disponible,,
RES DAR SAADA,Immobilier,2024,consolides,4027483000.0,,,-36972000.0,,63659000.0,-764000.0,-76667000.0,-22667000.0,-82829000.0,7344250000.0,782940000.0,,9,RES DAR SAADA,1.0,nom normalisé,5398000.0,vérifié_par_impôt_du_pdf,,
RES DAR SAADA,Immobilier,2025,consolides,,,341465.0,36987.0,,,,18530.0,-21136.0,,,,,4,RES DAR SAADA,1.0,nom normalisé,353000.0,vérifié_par_impôt_du_pdf,,
Rebab Company,Mines,2018,sociaux,17645600.0,,,-70397.79,-90116.6,,,-12837775.83,,-12840775.83,31438000.0,,,5,Rebab,1.0,alias vérifié,3000.0,vérifié_par_rcai_moins_resultat_net,0.0,3000.0
