societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad,version_source,secteur_normalise,est_banque,qualite_perimetre,taille_log_actif,rentabilite_actif,ratio_capitaux_propres,ratio_dettes_financieres,marge_ebit,marge_nette,taux_effectif_observe,is_mad_retard_1,chiffre_affaires_retard_1,resultat_avant_impot_retard_1,resultat_net_retard_1,total_actif_retard_1,capitaux_propres_retard_1,croissance_chiffre_affaires,croissance_resultat_avant_impot,croissance_resultat_net,croissance_total_actif,croissance_capitaux_propres,chiffre_affaires_manquant,ebit_manquant,resultat_financier_manquant,resultat_avant_impot_manquant,resultat_net_manquant,total_actif_manquant,capitaux_propres_manquant,total_dettes_manquant,dettes_financieres_manquant,tresorerie_equivalents_manquant,ebitda_manquant,immobilisations_corporelles_manquant,impot_differe_manquant,split_temporel_t,is_cible_t_plus_1,qualite_cible_t_plus_1,annee_cible,split_temporel_cible,cible_disponible
Addoha,Immobilier,2012,sociaux,3150000000.0,,2925000000.02,,,60119180.4,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,131474359.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,119085315.0,,,,,3150000000.0,,,,,0.0,1,1,1,1,1,1,0,1,0,1,1,0,1,apprentissage,82337447.0,haute,2013,apprentissage,True
Addoha,Immobilier,2013,sociaux,3225571180.0,,3358419877.75,,,155987620.41,,,,907183667.28,,,,4,Douja PRO ADDOHA,1.0,alias vérifié,82337447.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,131474359.0,,,,,3150000000.0,,,,,0.023990850793650792,1,1,1,1,0,1,0,1,0,1,1,0,1,apprentissage,51090784.0,haute,2014,apprentissage,True
Addoha,Immobilier,2016,sociaux,,,,,,152582806.19,,,,500000000.0,,,,2,Douja PRO ADDOHA,1.0,alias vérifié,170797519.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,0,1,apprentissage,134770811.0,haute,2017,apprentissage,True
Addoha,Immobilier,2020,sociaux,10955928287.21,,,,,,,,,,,,,1,Douja PRO ADDOHA,1.0,alias vérifié,5607176.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,1,validation,2579768.0,haute,2021,validation,True
Addoha,Immobilier,2023,sociaux,4025512540.0,,2166521089.43,,,848859107.51,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,2168106.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,0,1,1,0,1,test_final,2613868.0,haute,2024,test_final,True
Addoha,Immobilier,2024,sociaux,4025512540.0,,1807825140.34,,,837135484.08,,59939139.92,,-2.0,,,,5,Douja PRO ADDOHA,1.0,alias vérifié,2613868.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,0.0436087004833352,2168106.0,,,,,4025512540.0,,,,,0.0,1,1,1,0,0,1,0,1,0,1,1,0,1,test_final,1165851.0,haute,2025,test_final,True
Afriquia Gaz,Pétrole et Gaz,2006,consolides,1506567000.0,,377603000.0,-36228000.0,,1427701000.0,33045000.0,,,51.0,2506024000.0,,2138396000.0,8,AfriquiaGaz,1.0,alias vérifié,100370440.0,provisoire_un_seul_type_disponible,,,V26,petrole et gaz,False,provisoire,21.64196327078863,2.035096232119086e-08,0.6011782010068539,0.15067812598762023,,,,,,,,,,,,,,,1,0,1,1,0,0,0,1,0,0,1,0,0,apprentissage,125602945.0,provisoire,2007,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2007,consolides,1548090000.0,,38432000.0,-10265000.0,,1525719000.0,26787000.0,,,64.0,2521245000.0,,1665075000.0,8,AfriquiaGaz,1.0,alias vérifié,125602945.0,provisoire_un_seul_type_disponible,,,V26,petrole et gaz,False,provisoire,21.648018664484077,2.538428435158027e-08,0.6140180744037173,0.015243262753123953,,,,100370440.0,,,51.0,2506024000.0,1506567000.0,,,0.2549019607843137,0.006073764656683256,0.027561336468938984,1,0,1,1,0,0,0,1,0,0,1,0,0,apprentissage,121234203.0,provisoire,2008,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2008,consolides,1448726000.0,,17548000.0,,,1607306000.0,26787000.0,,,69.0,2677192000.0,,,6,AfriquiaGaz,1.0,alias vérifié,121234203.0,provisoire_un_seul_type_disponible,,,V26,petrole et gaz,False,provisoire,21.7080343213632,2.577327289189569e-08,0.54113638468963,0.006554628879811384,,,,125602945.0,,,64.0,2521245000.0,1548090000.0,,,0.078125,0.06185317174649826,-0.06418489881079266,1,1,1,1,0,0,0,1,0,1,1,0,0,apprentissage,117648296.0,provisoire,2009,apprentissage,True
Afriquia Gaz,Pétrole et Gaz,2015,consolides,2116880000.0,,90826000.0,-233639000.0,,2682484000.0,,,,420617404771.0,3695298000.0,,2438128000.0,7,AfriquiaGaz,1.0,alias vérifié,159020793.0,provisoire_un_seul_type_disponible,,,V26,petrole et gaz,False,provisoire,22.030327037891578,113.82502974618015,0.5728577235178327,0.02457880257559742,,,,,,,,,,,,,,,1,0,1,1,0,0,0,1,0,0,1,0,1,apprentissage,192889583.0,provisoire,2016,apprentissage,True
