societe,secteur,type_comptes_resolu,annee,annee_cible,is_mad,chiffre_affaires,capitaux_propres,immobilisations_corporelles,is_cible_t_plus_1,variation_is_cible,scenario,decoupage_temporel
Auto hall,Distributeurs,sociaux,2018,2019,48418632.0,4811636630.5,502945280.0,384188228.74,56312840.0,7894208.0,Structurel sans variables fiscales contemporaines,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2018,2019,6376302.0,69913039.51,1383441064.26,21556020.22,11620600.0,5244298.0,Structurel sans variables fiscales contemporaines,apprentissage
Microdata,"Matériels, logiciels et services informatiques",sociaux,2018,2019,20944864.0,664738604.67,42000000.0,2634538.37,25535409.0,4590545.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2018,2019,16291770.0,444532858.69,272244361.07,83306922.89,29470253.0,13178483.0,Structurel sans variables fiscales contemporaines,apprentissage
Auto hall,Distributeurs,sociaux,2019,2020,56312840.0,4424249242.77,502945280.0,828831167.03,58163046.0,1850206.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2019,2020,166846747.0,2508184430.51,2165417840.49,556259936.68,112318257.0,-54528490.0,Structurel sans variables fiscales contemporaines,apprentissage
Cosumar,Agroalimentaire,consolides,2019,2020,325611059.0,6676200000.0,4182000000.0,4512100000.0,266449348.0,-59161711.0,Structurel sans variables fiscales contemporaines,apprentissage
MarocTelecom,Télécommunications,sociaux,2019,2020,2388514000.0,19900000000.0,13224863000.0,71812207000.0,2296379000.0,-92135000.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2019,2020,29470253.0,522450180.24,324358564.9,79544054.17,30190807.0,720554.0,Structurel sans variables fiscales contemporaines,apprentissage
Zellidja,Sociétés de portefeuilles holdings,consolides,2019,2020,19145.0,1012000.0,67324000000.0,32992000000.0,10789.0,-8356.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2020,2021,112318257.0,2216340317.46,2001370477.5,490065841.0,143187529.0,30869272.0,Structurel sans variables fiscales contemporaines,apprentissage
Cosumar,Agroalimentaire,consolides,2020,2021,266449348.0,6979600000.0,4186900000.0,4547500000.0,308964703.0,42515355.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2020,2021,30190807.0,573195995.7,384619455.28,85276133.62,33724820.0,3534013.0,Structurel sans variables fiscales contemporaines,apprentissage
SNEP,Chimie,sociaux,2020,2021,46627086.0,351500000.0,759990611.93,1334966281.03,67747018.0,21119932.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2021,2022,143187529.0,2518186586.83,2023994062.72,486841790.4,187647583.0,44460054.0,Structurel sans variables fiscales contemporaines,validation
PROMOPHARM,Divers,sociaux,2021,2022,33724820.0,630491043.46,423589590.55,100696426.75,38972320.0,5247500.0,Structurel sans variables fiscales contemporaines,validation
SODEP-Marsa Maroc,Divers,consolides,2021,2022,226745249.0,3591981000.0,2301505000.0,3386320000.0,279988262.0,53243013.0,Structurel sans variables fiscales contemporaines,validation
Zellidja,Sociétés de portefeuilles holdings,sociaux,2021,2022,10251.0,24022.0,47752300.73,439223.14,10096.0,-155.0,Structurel sans variables fiscales contemporaines,validation
Brasseries du Maroc,Agroalimentaire,sociaux,2022,2023,187647583.0,2718405138.76,2113985081.43,461337826.89,227101402.0,39453819.0,Structurel sans variables fiscales contemporaines,validation
Ciments du Maroc,Bâtiment et matériaux de construction,consolides,2022,2023,363846700.0,1320000000.0,3321526000.0,1711072000.0,391628469.0,27781769.0,Structurel sans variables fiscales contemporaines,validation
Cosumar,Agroalimentaire,sociaux,2022,2023,349950242.0,9293598547.4,4216647389.13,1836204732.82,508273674.0,158323432.0,Structurel sans variables fiscales contemporaines,validation
DISTY RFA,"Matériels, logiciels et services informatiques",sociaux,2022,2023,3197250.0,202000000.0,162429915.14,3485429.27,2928870.0,-268380.0,Structurel sans variables fiscales contemporaines,validation
Lydec,Divers,sociaux,2022,2023,80334203.0,7380908784.86,1779636817.98,54186092.91,127308324.82,46974121.81999999,Structurel sans variables fiscales contemporaines,validation
M2M,"Matériels, logiciels et services informatiques",consolides,2022,2023,215923.0,40045260.0,171983000.0,5085894.0,1832000.0,1616077.0,Structurel sans variables fiscales contemporaines,validation
Microdata,"Matériels, logiciels et services informatiques",sociaux,2022,2023,20069301.0,694841840.09,167193647.01,15156203.53,20098067.0,28766.0,Structurel sans variables fiscales contemporaines,validation
PROMOPHARM,Divers,sociaux,2022,2023,38972320.0,746771033.32,458867835.35,212683177.88,30896094.0,-8076226.0,Structurel sans variables fiscales contemporaines,validation
Unimer,Agroalimentaire,sociaux,2022,2023,12400973.0,897687894.27,1564261823.89,173047613.41,6190569.0,-6210404.0,Structurel sans variables fiscales contemporaines,validation
Brasseries du Maroc,Agroalimentaire,sociaux,2023,2024,227101402.0,2725417168.86,2344199991.14,523491324.77,136784750.0,-90316652.0,Structurel sans variables fiscales contemporaines,test
Cosumar,Agroalimentaire,sociaux,2023,2024,508273674.0,9462216869.73,4692124211.34,1707978657.49,487874939.0,-20398735.0,Structurel sans variables fiscales contemporaines,test
DISTY RFA,"Matériels, logiciels et services informatiques",sociaux,2023,2024,2928870.0,56000000.0,171233239.0,3666440.15,2929158.0,288.0,Structurel sans variables fiscales contemporaines,test
Lydec,Divers,sociaux,2023,2024,127308324.82,7598475749.67,1818023268.91,57708422.14,121000000.0,-6308324.819999993,Structurel sans variables fiscales contemporaines,test
M2M,"Matériels, logiciels et services informatiques",consolides,2023,2024,1832000.0,49002809.0,54091258.0,4265952.0,1388172.0,-443828.0,Structurel sans variables fiscales contemporaines,test
Microdata,"Matériels, logiciels et services informatiques",sociaux,2023,2024,20098067.0,751169851.53,182396455.66,14511031.48,24141088.0,4043021.0,Structurel sans variables fiscales contemporaines,test
PROMOPHARM,Divers,sociaux,2023,2024,30896094.0,805516174.89,475765782.17,310727981.02,33883641.0,2987547.0,Structurel sans variables fiscales contemporaines,test
Risma,Divers,sociaux,2023,2024,2310526.23,889035566.53,2151334485.08,1827128670.64,2509443.0,198916.77000000002,Structurel sans variables fiscales contemporaines,test
Unimer,Agroalimentaire,sociaux,2023,2024,6190569.0,904614741.3,1566971375.83,156988098.21,2685482.0,-3505087.0,Structurel sans variables fiscales contemporaines,test
Zellidja,Sociétés de portefeuilles holdings,consolides,2023,2024,1791000.0,603030000.0,100680000.0,61452000.0,5410000.0,3619000.0,Structurel sans variables fiscales contemporaines,test
AFMA,Assurances et courtage,sociaux,2024,2025,22022000.0,239503000.0,78989000.0,20159000.0,18592000.0,-3430000.0,Structurel sans variables fiscales contemporaines,test
AKDITAL,Santé,sociaux,2024,2025,3517549.0,119755123.0,2298712215.0,16339879.0,5677576.0,2160027.0,Structurel sans variables fiscales contemporaines,test
ARADEI Capital,Sociétés de placement immobilier,sociaux,2024,2025,5772362.0,199977503.15,2681443537.26,681019027.54,13486621.63,7714259.630000001,Structurel sans variables fiscales contemporaines,test
Atlanta,Sociétés d'assurances,sociaux,2024,2025,54913464.0,29600000.0,4029546016.08,116051432.93,40561252.0,-14352212.0,Structurel sans variables fiscales contemporaines,test
BCP,Banques,sociaux,2024,2025,1727506000.0,10018334000.0,33378191000.0,2686750000.0,2167546000.0,440040000.0,Structurel sans variables fiscales contemporaines,test
Brasseries du Maroc,Agroalimentaire,sociaux,2024,2025,136784750.0,2622969828.83,2124583565.55,535070199.34,187996812.0,51212062.0,Structurel sans variables fiscales contemporaines,test
CASH PLUS S.A,Services de paiement,sociaux,2024,2025,178171000.0,562081000.0,473402000.0,61770000.0,212103010.0,33932010.0,Structurel sans variables fiscales contemporaines,test
CMGP GROUP,Agriculture,sociaux,2024,2025,314457.0,20347094.23,2229269508.68,0.0,373469.0,59012.0,Structurel sans variables fiscales contemporaines,test
Cosumar,Agroalimentaire,sociaux,2024,2025,487874939.0,9643112303.24,4684807359.45,1666110264.86,375170429.0,-112704510.0,Structurel sans variables fiscales contemporaines,test
DELTA HOLDING S.A,Sociétés de portefeuilles holdings,sociaux,2024,2025,9491501.0,64222892.42,1781003527.76,16508148.97,16604015.0,7112514.0,Structurel sans variables fiscales contemporaines,test
DISTY RFA,"Matériels, logiciels et services informatiques",sociaux,2024,2025,2929158.0,547834555.13,175625645.78,2163010.08,3737785.0,808627.0,Structurel sans variables fiscales contemporaines,test
DISWAY,Distributeurs,sociaux,2024,2025,20159189.0,1601013160.52,625444434.25,185485513.76,20159189.0,0.0,Structurel sans variables fiscales contemporaines,test
ENNAKL,Distributeurs,sociaux,2024,2025,54433844.05558334,1902825044.033333,625448736.3744,200827535.2182,77889700.83150001,23455856.775916666,Structurel sans variables fiscales contemporaines,test
Involys,"Matériels, logiciels et services informatiques",sociaux,2024,2025,99982.89,37516821.87,90252994.6,661793.6,157108.0,57125.11,Structurel sans variables fiscales contemporaines,test
Managem,Mines,sociaux,2024,2025,35418275.0,467157384.92,6360493281.12,64022487.37,4321925.0,-31096350.0,Structurel sans variables fiscales contemporaines,test
Microdata,"Matériels, logiciels et services informatiques",sociaux,2024,2025,24141088.0,900445777.78,193090661.08,14079604.56,21923922.0,-2217166.0,Structurel sans variables fiscales contemporaines,test
PROMOPHARM,Divers,sociaux,2024,2025,33883641.0,898713862.91,530925751.86,378002235.79,38461011.0,4577370.0,Structurel sans variables fiscales contemporaines,test
SGTM S.A,Bâtiment et matériaux de construction,sociaux,2024,2025,374322000.0,10452484000.0,2648774000.0,204772000.0,655609313.03,281287313.03,Structurel sans variables fiscales contemporaines,test
STROC INDUSTRIE,Ingénieries et biens d'équipement industriels,sociaux,2024,2025,351615.0,117669378.45,-341368455.65,250074848.83,893044.0,541429.0,Structurel sans variables fiscales contemporaines,test
Sonasid,Mines,sociaux,2024,2025,73731175.0,5374880003.12,1430165800.95,700342052.84,156597905.35,82866730.35,Structurel sans variables fiscales contemporaines,test
TAQA MOROCCO,Electricité,sociaux,2024,2025,244285642.0,6068100870.29,6478163115.43,313459881.72,232518075.0,-11767567.0,Structurel sans variables fiscales contemporaines,test
TGCC S.A,Bâtiment et matériaux de construction,sociaux,2024,2025,162568916.0,6608281599.17,1449888650.47,170466009.52,451699378.0,289130462.0,Structurel sans variables fiscales contemporaines,test
TOTAL MAROC,Distributeurs,sociaux,2024,2025,466189051.0,18348026022.08,2595923623.32,2214812884.4,444872652.0,-21316399.0,Structurel sans variables fiscales contemporaines,test
Unimer,Agroalimentaire,sociaux,2024,2025,2685482.0,806449256.64,1532049342.84,147870937.92,1828143.0,-857339.0,Structurel sans variables fiscales contemporaines,test
Vicenne,Santé,sociaux,2024,2025,168371.0,24957175.17,238848114.82,1765484.56,365832.0,197461.0,Structurel sans variables fiscales contemporaines,test
Zellidja,Sociétés de portefeuilles holdings,consolides,2024,2025,5410000.0,6793000.0,56572000.0,32992000.0,6170000.0,760000.0,Structurel sans variables fiscales contemporaines,test
