societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad,version_source,secteur_normalise,est_banque,qualite_perimetre,taille_log_actif,rentabilite_actif,ratio_capitaux_propres,ratio_dettes_financieres,marge_ebit,marge_nette,taux_effectif_observe,is_mad_retard_1,chiffre_affaires_retard_1,resultat_avant_impot_retard_1,resultat_net_retard_1,total_actif_retard_1,capitaux_propres_retard_1,croissance_chiffre_affaires,croissance_resultat_avant_impot,croissance_resultat_net,croissance_total_actif,croissance_capitaux_propres,chiffre_affaires_manquant,ebit_manquant,resultat_financier_manquant,resultat_avant_impot_manquant,resultat_net_manquant,total_actif_manquant,capitaux_propres_manquant,total_dettes_manquant,dettes_financieres_manquant,tresorerie_equivalents_manquant,ebitda_manquant,immobilisations_corporelles_manquant,impot_differe_manquant,split_temporel_t
Attijari wafa bank,Banques,2020,sociaux,43095011000.0,,,,,,,3648628000.0,,18654912000.0,367356389000.0,,,3,Attijari wafa bank,1.0,nom normalisé,1330010000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,26.62959830099702,0.05078150961463202,0.11731117870934865,,,,0.3645233221912456,2016910000.0,,6857021000.0,18615420000.0,347402363000.0,43609499000.0,,-0.4678989607877823,0.0021214670418395073,0.05743779583905709,-0.011797613175973427,1,1,1,0,0,0,0,1,1,1,1,1,1,validation
Attijari wafa bank,Banques,2021,sociaux,46980388000.0,,,,,,,5645280000.0,,20729805000.0,382246023000.0,,,3,Attijari wafa bank,1.0,nom normalisé,1545796000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,26.669330277518334,0.05423157796987727,0.12290615251214791,,,,0.27382096193634325,1330010000.0,,3648628000.0,18654912000.0,367356389000.0,43095011000.0,,0.5472336450852211,0.11122502212822018,0.040531849848948726,0.09015839443688738,1,1,1,0,0,0,0,1,1,1,1,1,1,validation
Attijari wafa bank,Banques,2022,sociaux,47988116000.0,,,,,,,5966731000.0,,21783425000.0,427766876000.0,,,3,Attijari wafa bank,1.0,nom normalisé,1731891000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,26.781844201894295,0.05092358997894919,0.11218287037259986,,,,0.29025793185581855,1545796000.0,,5645280000.0,20729805000.0,382246023000.0,46980388000.0,,0.0569415511719525,0.05082633435287983,0.11908783940441416,0.021449971847827227,1,1,1,0,0,0,0,1,1,1,1,1,1,validation
Attijari wafa bank,Banques,2023,sociaux,49799685000.0,,,,,,,7324318000.0,,21953362000.0,114116000.0,,,3,Attijari wafa bank,1.0,nom normalisé,2178066000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,18.552726041634596,192.37759823337657,436.3952907567738,,,,0.2973745814968711,1731891000.0,,5966731000.0,21783425000.0,427766876000.0,47988116000.0,,0.227526094271721,0.007801206651387465,-0.9997332285260909,0.03775036719507805,1,1,1,0,0,0,0,1,1,1,1,1,1,test_final
Attijari wafa bank,Banques,2024,sociaux,52786655000.0,,,,,,,9314274000.0,,22053362000.0,491941270000.0,,,3,Attijari wafa bank,1.0,nom normalisé,2777480000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,26.921625176396898,0.04482925776892026,0.10730275790847961,,,,0.29819608055335284,2178066000.0,,7324318000.0,21953362000.0,114116000.0,49799685000.0,,0.27169164419130903,0.004555110966602746,4309.887780854569,0.059979696658723845,1,1,1,0,0,0,0,1,1,1,1,1,1,test_final
Attijari wafa bank,Banques,2025,sociaux,56357157000.0,,,,,,,11538939000.0,,22226671000.0,527424302000.0,,,3,Attijari wafa bank,1.0,nom normalisé,3889647000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,26.991271188683406,0.042141916699166435,0.10685354616063937,,,,0.3370887912658174,2777480000.0,,9314274000.0,22053362000.0,491941270000.0,52786655000.0,,0.23884470222799972,0.00785862037724679,0.07212859372420614,0.06764023975377868,1,1,1,0,0,0,0,1,1,1,1,1,1,test_final
Auto Nejma,Distributeurs,2024,sociaux,1257000000.0,,70000000.0,337269000000.0,,,,323000000.0,,,,,,4,Auto-Najma,1.0,alias vérifié,118541584.0,vérifié_par_impôt_du_pdf,,,V26,distributeurs,False,haute,,,,,,,0.3670018080495356,,,,,,,,,,,,1,0,1,0,1,1,0,1,0,1,1,1,1,test_final
Auto Nejma,Distributeurs,2025,sociaux,1434000000.0,,581000000.0,492337000000.0,,,,486000000.0,,,,,,4,Auto-Najma,1.0,alias vérifié,186412198.0,vérifié_par_impôt_du_pdf,,,V26,distributeurs,False,haute,,,,,,,0.38356419341563786,118541584.0,,323000000.0,,,1257000000.0,,0.5046439628482973,,,0.14081145584725538,1,0,1,0,1,1,0,1,0,1,1,1,1,test_final
Auto hall,Distributeurs,2018,sociaux,502945280.0,4811636630.5,,-1865560.02,,384188228.74,,1486356722.6,,167492012.8,3940584717.19,,,5,Auto-Hall,1.0,alias vérifié,48418632.0,vérifié_par_impôt_du_pdf,,,V26,distributeurs,False,haute,22.094594954877206,0.042504355272289955,0.1276321449976709,,-0.0003877183925682561,0.034809780052446546,0.032575377945143626,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,1,0,1,apprentissage
Auto hall,Distributeurs,2019,sociaux,502945280.0,4424249242.77,,,,828831167.03,,1480480055.68,,170154181.08,4770843526.8,,,4,Auto-Hall,1.0,alias vérifié,56312840.0,vérifié_par_impôt_du_pdf,,,V26,distributeurs,False,haute,22.28578896642192,0.03566542900100716,0.10542061947215987,,,0.03845944740976377,0.038036878500288154,48418632.0,4811636630.5,1486356722.6,167492012.8,3940584717.19,502945280.0,-0.08051052427243333,-0.003953739254275459,0.01589429988628091,0.2106943180254861,0.0,0,1,1,0,0,0,0,1,1,1,1,0,1,apprentissage
Auto hall,Distributeurs,2020,sociaux,502945280.0,,,,,431411326.18,,1434973704.62,,130524496.94,,,,4,Auto-Hall,1.0,alias vérifié,58163046.0,vérifié_par_impôt_du_pdf,,,V26,distributeurs,False,haute,,,,,,,0.04053248210245242,56312840.0,4424249242.77,1480480055.68,170154181.08,4770843526.8,502945280.0,,-0.030737564403796467,-0.23290455684640302,,0.0,1,1,1,0,0,1,0,1,1,1,1,0,1,validation
Auto hall,Distributeurs,2025,sociaux,502945280.0,,,,,609815412.86,,1659905010.86,,,,,,3,Auto-Hall,1.0,alias vérifié,64635088.0,vérifié_par_impôt_du_pdf,,,V26,distributeurs,False,haute,,,,,,,0.038939028183614215,32539329.0,,,,,502945280.0,,,,,0.0,1,1,1,0,1,1,0,1,1,1,1,0,1,test_final
