societe,annee,type_rapport,url_fiche,page_liste,url_pdf,nom_fichier,taille_annoncee
Banque Centrale Populaire (BCP),2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2022,47,https://www.ammc.ma/sites/default/files/BCP_S1_22_0.pdf,BCP_S1_22_0.pdf,2.07 Mo
MAROC TELECOM,2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-juin-2022,48,https://www.ammc.ma/sites/default/files/Maroc%20Telecom_RFS_juin_2022.pdf,Maroc Telecom_RFS_juin_2022.pdf,3.51 Mo
MANAGEM,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2021,51,https://www.ammc.ma/sites/default/files/Managem_RFA_2021.pdf,Managem_RFA_2021.pdf,8.44 Mo
COSUMAR,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2021,51,https://www.ammc.ma/sites/default/files/Cosumar_RFA_2021.pdf,Cosumar_RFA_2021.pdf,8.37 Mo
Banque Centrale Populaire (BCP),2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2021,51,https://www.ammc.ma/sites/default/files/BCP_RFA_2021.pdf,BCP_RFA_2021.pdf,8.83 Mo
ATTIJARIWAFA BANK,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2021,52,https://www.ammc.ma/sites/default/files/AWB_RFA_2021_def.pdf,AWB_RFA_2021_def.pdf,7.4 Mo
LABEL VIE S.A.,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/label-vie-rfa-2021,52,https://www.ammc.ma/sites/default/files/Rapport-Financier-Annuel-Label-Vie-2021_1.pdf,Rapport-Financier-Annuel-Label-Vie-2021_1.pdf,16.26 Mo
CIMENTS DU MAROC,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2021,52,https://www.ammc.ma/sites/default/files/Cimar_RFA_2021.pdf,Cimar_RFA_2021.pdf,16.8 Mo
MAROC TELECOM,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2021,54,https://www.ammc.ma/sites/default/files/Maroc_Telecom_Document_Enregistrement_universel_2021.pdf,Maroc_Telecom_Document_Enregistrement_universel_2021.pdf,4.63 Mo
LABEL VIE S.A.,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rapport-financier-semestriel-2021,56,https://www.ammc.ma/sites/default/files/Labelvie_RFS_2021.pdf,Labelvie_RFS_2021.pdf,1.84 Mo
MANAGEM,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2021,56,https://www.ammc.ma/sites/default/files/MANAGEM_RFS_JUIN_2021.pdf,MANAGEM_RFS_JUIN_2021.pdf,2.27 Mo
COSUMAR,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rapport-financier-semestriel-2021,57,https://www.ammc.ma/sites/default/files/RFS-Cosumar-2021.pdf,RFS-Cosumar-2021.pdf,872 Ko
ATTIJARIWAFA BANK,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2021,57,https://www.ammc.ma/sites/default/files/ATW_RFS_juin_2021.pdf,ATW_RFS_juin_2021.pdf,585.61 Ko
Banque Centrale Populaire (BCP),2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2021,58,https://www.ammc.ma/sites/default/files/BCP_RFS_21.pdf,BCP_RFS_21.pdf,2.15 Mo
CIMENTS DU MAROC,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2021,58,https://www.ammc.ma/sites/default/files/Ciment_du_maroc_RFS_S1_2021.pdf,Ciment_du_maroc_RFS_S1_2021.pdf,5.97 Mo
MAROC TELECOM,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-2021,60,https://www.ammc.ma/sites/default/files/Maroc_Telecom_RFS_S1_21.pdf,Maroc_Telecom_RFS_S1_21.pdf,2.76 Mo
CIMENTS DU MAROC,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cimar-rfa-2020,60,https://www.ammc.ma/sites/default/files/CIMAR_Rapport%20Financier%20Annuel.pdf,CIMAR_Rapport Financier Annuel.pdf,15.54 Mo
LABEL VIE S.A.,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/label-vie-sa-rfa-2020,61,https://www.ammc.ma/sites/default/files/RFA%202020%20_%20LabelVieSA.pdf,RFA 2020 _ LabelVieSA.pdf,45.41 Mo
MANAGEM,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2020,62,https://www.ammc.ma/sites/default/files/Managem_RFA_2020.pdf,Managem_RFA_2020.pdf,10.42 Mo
ATTIJARIWAFA BANK,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2020,63,https://www.ammc.ma/sites/default/files/ATW_RFA_2020_0.pdf,ATW_RFA_2020_0.pdf,4.42 Mo
Banque Centrale Populaire (BCP),2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2020,63,https://www.ammc.ma/sites/default/files/BCP_RFA_2020.pdf,BCP_RFA_2020.pdf,34.46 Mo
COSUMAR,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2020,65,https://www.ammc.ma/sites/default/files/Cosumar_RFA%202020.pdf,Cosumar_RFA 2020.pdf,5.36 Mo
